"";"V1";"Min.";"1st Qu.";"Median";"Mean";"3rd Qu.";"Max.";"result";"diff_per"
"1";"MMR1 + 0.25%";"3269";5646;6582,5;"6795.362";7718,25;"14237";"6582.5 (5646; 7718.25)";"8.44 (-7.36; 21.46)"
"2";"MMR1 +0.5";"3089";5186;6012;"6189.252";7020,5;"12856";"6012 (5186; 7020.5)";"16.37 (2.34; 27.86)"
"3";"MMR1 +1";"2752";4509,75;5196,5;"5348.6064";6022,75;"11469";"5196.5 (4509.75; 6022.75)";"27.72 (16.22; 37.27)"
"4";"MMR2 +0.5";"3432";6031,75;7151;"7361.7576";8397,25;"15148";"7151 (6031.75; 8397.25)";"0.53 (-16.81; 16.1)"
"5";"MMR2 +1";"3625";6042;7067;"7351.6988";8475,25;"17994";"7067 (6042; 8475.25)";"1.7 (-17.89; 15.95)"
"6";"MMR2 + 3";"3485";5887,75;6854,5;"7138.8036";8169,25;"15843";"6854.5 (5887.75; 8169.25)";"4.65 (-13.64; 18.1)"
"7";"early +0.25";"2950";5150,5;5970,5;"6171.962";7016,75;"12178";"5970.5 (5150.5; 7016.75)";"16.95 (2.4; 28.36)"
"8";"early +0.5";"3233";5191,75;6023,5;"6205.2372";7034,25;"13300";"6023.5 (5191.75; 7034.25)";"16.21 (2.15; 27.78)"
"9";"early +1";"3154";5113,5;5931,5;"6108.674";6944;"11724";"5931.5 (5113.5; 6944)";"17.49 (3.41; 28.87)"
"10";"MMR2 -3";"3226";5289,75;6184;"6396.6764";7279;"13647";"6184 (5289.75; 7279)";"13.98 (-1.25; 26.42)"
"11";"MMR2 -5";"3300";5409;6329,5;"6503.59";7379,75;"15304";"6329.5 (5409; 7379.75)";"11.96 (-2.65; 24.76)"
"12";"early second";"2912";5317,5;6146,5;"6353.932";7190;"14185";"6146.5 (5317.5; 7190)";"14.5 (-0.01; 26.03)"
"13";"early MMR2 like MMR1";"2686";4673,75;5393;"5555.3364";6261,5;"13156";"5393 (4673.75; 6261.5)";"24.98 (12.9; 34.99)"
"14";"MMR2 at 5";"4562";8950;10990;"11466.5712";13306,25;"31671";"10990 (8950; 13306.25)";"-52.87 (-85.09; -24.5)"
"15";"reference";"3081";6072;7189;"7444.5788";8538,75;"17390";"7189 (6072; 8538.75)";"0 (-18.78; 15.54)"
